user,login_count,off_hour_logins,weekend_logins,unique_pcs_logon,off_hour_ratio,weekend_ratio,device_connections,unique_pcs_device,raw_anomaly_score,risk_score,is_anomaly,risk_level,risk_explanation,is_simulated,persona_description
Dtaa/Dsm0990,2493,1247,1,886,0.5002,0.0004,0,0,-0.12142,100.0,1,High,Excessive logins (2493 total) | High off-hours activity (1247 logins outside 8AM–6PM) | Logged into multiple PCs (886 distinct machines),0,
Dtaa/Jcc0998,2490,1592,0,881,0.6394,0.0,0,0,-0.119375,99.48,1,High,Excessive logins (2490 total) | High off-hours activity (1592 logins outside 8AM–6PM) | Logged into multiple PCs (881 distinct machines),0,
Dtaa/Cgm0994,2555,1581,0,935,0.6188,0.0,0,0,-0.118656,99.3,1,High,Excessive logins (2555 total) | High off-hours activity (1581 logins outside 8AM–6PM) | Logged into multiple PCs (935 distinct machines),0,
Dtaa/Ars0993,2386,1527,0,856,0.64,0.0,0,0,-0.118377,99.23,1,High,Excessive logins (2386 total) | High off-hours activity (1527 logins outside 8AM–6PM) | Logged into multiple PCs (856 distinct machines),0,
SIM_GhostUser,18,16,10,5,0.89,0.56,4,4,-0.117058,98.9,1,High,High off-hours activity (16 logins outside 8AM–6PM) | Elevated weekend login ratio (56% of logins on weekends) | Logged into multiple PCs (5 distinct machines) | Connected devices across multiple PCs (4 machines),1,Minimal login activity but 89% of logins are off-hours. Accesses 5 machines despite low total usage. Stealth behavior — may be using stolen credentials sparingly.
Dtaa/Clb0995,2418,1557,0,851,0.6439,0.0,0,0,-0.116385,98.73,1,High,Excessive logins (2418 total) | High off-hours activity (1557 logins outside 8AM–6PM) | Logged into multiple PCs (851 distinct machines),0,
Dtaa/Jtt0989,2432,1517,0,866,0.6238,0.0,0,0,-0.115287,98.45,1,High,Excessive logins (2432 total) | High off-hours activity (1517 logins outside 8AM–6PM) | Logged into multiple PCs (866 distinct machines),0,
SIM_DataMule,55,22,19,4,0.4,0.35,112,9,-0.112557,97.76,1,High,High off-hours activity (22 logins outside 8AM–6PM) | Frequent weekend logins (19 weekend events) | Logged into multiple PCs (4 distinct machines) | Excessive device connections (112 total) | Connected devices across multiple PCs (9 machines),1,Connects external devices 112 times across 9 machines. High weekend and off-hours activity. Strong indicator of bulk data exfiltration via removable media.
SIM_NightOwl,95,88,12,2,0.93,0.13,8,1,-0.112369,97.71,1,High,Excessive logins (95 total) | High off-hours activity (88 logins outside 8AM–6PM) | Frequent weekend logins (12 weekend events),1,Logs in almost exclusively between midnight and 5AM. Suggests unauthorized remote access or credential theft.
Dtaa/Kee0997,2471,1344,0,917,0.5439,0.0,0,0,-0.112139,97.65,1,High,Excessive logins (2471 total) | High off-hours activity (1344 logins outside 8AM–6PM) | Logged into multiple PCs (917 distinct machines),0,
SIM_FullThreat,210,175,68,18,0.83,0.32,145,15,-0.109335,96.95,1,High,Excessive logins (210 total) | High off-hours activity (175 logins outside 8AM–6PM) | Frequent weekend logins (68 weekend events) | Logged into multiple PCs (18 distinct machines) | Excessive device connections (145 total) | Connected devices across multiple PCs (15 machines),1,"Maximum threat profile — combines all suspicious behaviors. Extremely high logins, off-hours activity, lateral movement, and device exfiltration. Should always be flagged High risk."
